Country,Life Expectancy at Birth (2021)
Afghanistan,61.9824
Angola,61.6434
Albania,76.4626
Andorra,80.3684
United Arab Emirates,78.7104
Argentina,75.3899
Armenia,72.0431
Antigua and Barbuda,78.4968
Australia,84.5265
Austria,81.5797
Azerbaijan,69.3658
Burundi,61.6627
Belgium,81.8787
Benin,59.821
Burkina Faso,59.2696
Bangladesh,72.3811
Bulgaria,71.798
Bahrain,78.7605
Bahamas,71.5983
Bosnia and Herzegovina,75.3003
Belarus,72.438
Belize,70.4697
Bolivia,63.6304
Brazil,72.7504
Barbados,77.5714
Brunei,74.6424
Bhutan,71.815
Botswana,61.1409
Central African Rep.,53.8947
Canada,82.6565
Switzerland,83.9872
Chile,78.9435
China,78.2107
Côte d'Ivoire,58.5983
Cameroon,60.3334
Dem. Rep. Congo,59.193
Congo,63.5187
Colombia,72.8296
Comoros,63.4174
Cabo Verde,74.0518
Costa Rica,77.0232
Cuba,73.6829
Cyprus,81.2033
Czechia,77.7283
Germany,80.6301
Djibouti,62.3049
Dominica,72.814
Denmark,81.3753
Dominican Republic,72.6146
Algeria,76.3767
Ecuador,73.67
Egypt,70.2207
Eritrea,66.5358
Spain,83.01
Estonia,77.1436
Ethiopia,64.9748
Finland,82.0381
Fiji,67.114
France,82.4988
Micronesia,70.71
Gabon,65.821
United Kingdom,80.7422
Georgia,71.694
Ghana,63.7954
Guinea,58.8922
Gambia,62.083
Guinea-Bissau,59.6523
Equatorial Guinea,60.5943
Greece,80.1106
Grenada,74.9362
Guatemala,69.2368
Guyana,65.6734
Hong Kong,85.4734
Honduras,70.1229
Croatia,77.5804
Haiti,63.1924
Hungary,74.5301
Indonesia,67.5703
India,67.2398
Ireland,81.9976
Iran,73.8749
Iraq,70.3779
Iceland,82.6782
Israel,82.255
Italy,82.8502
Jamaica,70.5003
Jordan,74.2563
Japan,84.7839
Kazakhstan,69.3622
Kenya,61.427
Kyrgyzstan,69.9774
Cambodia,69.5835
Kiribati,67.4172
Saint Kitts and Nevis,71.6822
South Korea,83.6978
Kuwait,78.6729
Laos,68.0608
Lebanon,75.0472
Liberia,60.7472
Libya,71.9112
Saint Lucia,71.1114
Liechtenstein,83.2575
Sri Lanka,76.3991
Lesotho,53.062
Lithuania,73.7201
Luxembourg,82.6287
Latvia,73.5786
Morocco,74.0419
Monaco,85.9463
Moldova,68.8459
Madagascar,64.4853
Maldives,79.9182
Mexico,70.2127
Marshall Islands,65.2688
North Macedonia,73.8415
Mali,58.9414
Malta,83.7769
Myanmar,65.6716
Montenegro,76.3426
Mongolia,70.9754
Mozambique,59.3247
Mauritania,64.3636
Mauritius,73.5552
Malawi,62.9044
Malaysia,74.8839
Namibia,59.269
Niger,61.5763
Nigeria,52.676
Nicaragua,73.8368
Netherlands,81.6873
Norway,83.2339
Nepal,68.4495
Nauru,63.617
New Zealand,82.4513
Oman,72.5406
Pakistan,66.0979
Panama,76.2233
Peru,72.3769
Philippines,69.2664
Palau,66.0204
Papua New Guinea,65.3506
Poland,76.4572
North Korea,73.2845
Portugal,81.0443
Paraguay,70.2617
"Palestine, State of",73.4727
Qatar,79.2716
Romania,74.1847
Russia,69.419
Rwanda,66.0722
Saudi Arabia,76.936
Sudan,65.2667
Senegal,67.0926
Singapore,82.7545
Solomon Islands,70.3477
Sierra Leone,60.0624
El Salvador,70.7479
San Marino,80.8786
Somalia,55.2803
Serbia,74.1923
S. Sudan,54.9752
Sao Tome and Principe,67.5912
Suriname,70.2743
Slovakia,74.9101
Slovenia,80.6904
Sweden,82.9833
Eswatini,57.0657
Seychelles,71.2945
Syrian Arab Republic,72.0627
Chad,52.5254
Togo,61.6194
Thailand,78.7154
Tajikistan,71.5942
Turkmenistan,69.2644
Timor-Leste,67.7369
Tonga,70.9857
Trinidad and Tobago,72.9709
Tunisia,73.7719
Turkey,76.0324
Tuvalu,64.5466
Tanzania,66.2007
Uganda,62.7048
Ukraine,71.624
Uruguay,75.4356
United States of America,77.1982
Uzbekistan,70.8616
Saint Vincent and the Grenadines,69.6291
Venezuela,70.5536
Vietnam,73.6181
Vanuatu,70.449
Samoa,72.7675
Yemen,63.7534
South Africa,62.341
Zambia,61.2234
Zimbabwe,59.2531
