ISO3,Country,Continent,Hemisphere,Human Development Groups,HDI Rank (2021),Life Expectancy at Birth (1990),Life Expectancy at Birth (2021)
AFG,Afghanistan,Asia,Northern Hemisphere,Low,180,45.9672,61.9824
AGO,Angola,Africa,Southern Hemisphere,Medium,148,41.8933,61.6434
ALB,Albania,Europe,Northern Hemisphere,High,67,73.1439,76.4626
AND,Andorra,Europe,Northern Hemisphere,Very High,40,78.4063,80.3684
ARE,United Arab Emirates,Asia,Northern Hemisphere,Very High,26,71.9004,78.7104
ARG,Argentina,America,Southern Hemisphere,Very High,47,71.7837,75.3899
ARM,Armenia,Asia,Northern Hemisphere,High,85,68.8209,72.0431
ATG,Antigua and Barbuda,America,Northern Hemisphere,High,71,73.4922,78.4968
AUS,Australia,Oceania,Southern Hemisphere,Very High,5,77.0443,84.5265
AUT,Austria,Europe,Northern Hemisphere,Very High,25,75.7396,81.5797
AZE,Azerbaijan,Asia,Northern Hemisphere,High,91,62.3522,69.3658
BDI,Burundi,Africa,Southern Hemisphere,Low,187,44.8599,61.6627
BEL,Belgium,Europe,Northern Hemisphere,Very High,13,76.0554,81.8787
BEN,Benin,Africa,Northern Hemisphere,Low,166,53.2918,59.821
BFA,Burkina Faso,Africa,Northern Hemisphere,Low,184,49.4401,59.2696
BGD,Bangladesh,Asia,Northern Hemisphere,Medium,129,55.9886,72.3811
BGR,Bulgaria,Europe,Northern Hemisphere,High,68,71.3571,71.798
BHR,Bahrain,Asia,Northern Hemisphere,Very High,35,72.6677,78.7605
BHS,Bahamas,America,Northern Hemisphere,Very High,55,70.1331,71.5983
BIH,Bosnia and Herzegovina,Europe,Northern Hemisphere,High,74,72.3487,75.3003
BLR,Belarus,Europe,Northern Hemisphere,Very High,60,69.9347,72.438
BLZ,Belize,America,Northern Hemisphere,Medium,123,70.7437,70.4697
BOL,Bolivia,America,Southern Hemisphere,Medium,118,56.4221,63.6304
BRA,Brazil,America,Southern Hemisphere,High,87,65.9848,72.7504
BRB,Barbados,America,Northern Hemisphere,High,70,72.7516,77.5714
BRN,Brunei,Asia,Northern Hemisphere,Very High,51,71.6563,74.6424
BTN,Bhutan,Asia,Northern Hemisphere,Medium,127,55.9679,71.815
BWA,Botswana,Africa,Southern Hemisphere,Medium,117,60.5327,61.1409
CAF,Central African Republic,Africa,Northern Hemisphere,Low,188,49.6347,53.8947
CAN,Canada,America,Northern Hemisphere,Very High,15,77.4308,82.6565
CHE,Switzerland,Europe,Northern Hemisphere,Very High,1,77.3849,83.9872
CHL,Chile,America,Southern Hemisphere,Very High,42,72.574,78.9435
CHN,China,Asia,Northern Hemisphere,High,79,68.0052,78.2107
CIV,Ivory Coast,Africa,Northern Hemisphere,Medium,159,52.6026,58.5983
CMR,Cameroon,Africa,Northern Hemisphere,Medium,151,54.8679,60.3334
COD,The Democratic Republic of the Congo,Africa,Northern Hemisphere,Low,179,48.6006,59.193
COG,Congo,Africa,Southern Hemisphere,Medium,153,55.9261,63.5187
COL,Colombia,America,Northern Hemisphere,High,88,68.644,72.8296
COM,Comoros,Africa,Southern Hemisphere,Medium,156,55.8404,63.4174
CPV,Cabo Verde,Africa,Northern Hemisphere,Medium,128,65.0227,74.0518
CRI,Costa Rica,America,Northern Hemisphere,Very High,58,76.6301,77.0232
CUB,Cuba,America,Northern Hemisphere,High,83,74.0389,73.6829
CYP,Cyprus,Asia,Northern Hemisphere,Very High,29,73.5387,81.2033
CZE,Czechia,Europe,Northern Hemisphere,Very High,32,71.4087,77.7283
DEU,Germany,Europe,Northern Hemisphere,Very High,9,75.3588,80.6301
DJI,Djibouti,Africa,Northern Hemisphere,Low,171,55.4983,62.3049
DMA,Dominica,America,Northern Hemisphere,High,102,69.852,72.814
DNK,Denmark,Europe,Northern Hemisphere,Very High,6,74.8636,81.3753
DOM,Dominican Republic,America,Northern Hemisphere,High,80,67.1102,72.6146
DZA,Algeria,Africa,Northern Hemisphere,High,91,67.416,76.3767
ECU,Ecuador,America,Southern Hemisphere,High,95,69.3477,73.67
EGY,Egypt,Africa,Northern Hemisphere,High,97,64.1459,70.2207
